nombre,direccion,latitud,longitud,telefono,estado
Cien Metros,"Eje Central Lázaro Cárdenas (camellón central) entre Cda. de 100 Metros y Puente Fortuna, Col. Nueva Industrial Vallejo",19.48379,-99.14289,57194368,activo
El Zarco,"Av. Talismán s/n esquina Gran Canal, Col. San Juan de Aragón.",-99.095006,19.466936,57417855,activo
Indios Verdes,Av. Insurgentes Norte s/n Esq. Acueducto de Guadalupe Col. Santa Isabel Tola,-99.11773,19.50088,57481757,activo
Culturas,Av. Culturas entre Norte 5 y Fco. Márquez Col. San Pedro Xalpa,-99.203008,19.509648,53187013,activo
Lar Armas,"Cda.de Francisco Villa S/N esq. Emiliano Zapata, Col. San Pedro Xalpa.",-99.214332,19.485464,53187013,activo
Velódormo,"Genaro García Esq. Luis de Rosa, Col. Jardín Balbuena, Del. Venustiano Carranza",,,57641099,activo
Centro Histórico,"Nezahualcóyotl S/N entre Isabel La Católica y 5 de Febrero, Col. Centro, Del. Cuauhtémoc",,,57099765,activo
Fresno,"Fresno No. S/N , Col. Atlampa C.P.",,,,activo
Obrera,Av. Taller No. 18 entre San Antonio Abad y Callejón Agustín Delgado Col. Tránsito,-99.134274,19.413437,57414244,activo
Río San Joaquín,"Lago Ginebra Esq. con Lago Hielmar Col. San Joaquín, Del. Miguel Hidalgo (a una Cuadra del Metro San Joaquín).",,,52505202,activo
Salinillas,Calle Presa Salinillas casi esq. Ingenieros Militares Col. Irrigación. ,-99.216843,19.444549,53958781,activo
Añil,"Eje 3 Sur s/n  esq. Viaducto frente a Estacionamiento del Palacio de los Deportes, pta. 7 y 8. Col. Granjas México.",-99.10301,19.406313,56484170,activo
La Viga,"Juan Álvarez s/n, esquina Calzada de la Viga, Col. Benito Juárez",-99.121571,19.386093,56331400,activo
Troncoso,"Oriente 110 s/n, entre Troncoso y Recreo. Colonia Barrio San Miguel Iztacalco",-99.114017,19.392489,,activo
Canarios,Calle Canarios s/n esq. Div. del Norte Col. Bellavista ,-99.193422,19.393478,52734443,activo
Grutas,Calle Grutas s/n esq. Av. Central Col.8 de Agosto ,-99.189599,19.393187,26141731,activo
Las Águilas,Av. Rómulo O'Farril s/n esq. Alfonso Caso (antes Luz y Fuerza) Col. Las Águilas.,-99.207155,19.352682,55936891,activo
Santa Fe,"Av. Santa Fe s/n entre Javier Barros y Vasco de Quiroga, Col. Peña Blanca",,,52923227,activo
Cabeza de Juárez,Av. 3 esq. Emilio Azcárraga Vidaurreta (Estacionamiento del Deportivo Fco. I. Madero) Col. Ejército de Oriente.,-99.03972,19.383037,57737436,activo
Central de Abastos,"Prolongacion Toltecas s/n esq. Eje 6, Col Central de Abastos, Del. Iztapalapa",,,,activo
Fuerte Loreto,"Av. Fuerte Loreto s/n esq. Juan Carlos Pacheco, Col. Ejército de Oriente 4a Sección Del. Iztapalapa",-99.031271,19.363239,26336772,activo
Módulo 39,"Av. Enrique Contel, Unidad Hab. Ejército Constitucionalista, entre Emilio Balli y Emilio Azcárraga (dentro  del Módulo 39, ex ruta 100) Del. Iztapalapa",-99.044698,19.386113,26337016,activo
Santa Cruz Meyehualco,Samuel Gompers s/n entre Calle Genaro Estrada y Calle 71 Col. Santa Cruz Meyehualco,-99.047166,19.350374,56926343,activo
Coyoacán,"Viaducto Tlalpan 3333 esquina Acoxpan, Col. Ejido de Santa Ursula Coapa, Del. Coyoacán",,,,activo
Piraña,"Piraña s/n entre Leandro Valle y Langosta, Col. Del Mar (en el interior del Agrupamiento de Fuerza de Tarea ), Del. Tláhuac",-99.066896,19.283803,,activo
Piraña 2,"Calle Leandro Valle y Piraña s/n, Col. del Mar, Del. Tláhuac",,,,activo
Tláhuac,Calle Juan Mendoza s/n esq. Tierra y Libertad Col. San José Tláhuac,-99.000807,19.279448,58429356,activo
Tierra Unida,,,,,activo
Cuemanco,"Boulevard Adolfo Ruiz Cortines  (anillo Periférico Sur-lateral), Frente a la Calle Hacienda de Cristo, Col. San Lorenzo La Cebada, Del. Xochimilco",,,55948129,activo
La Noria,"Carretera vieja a San Pablo s/n y Calle Acueducto, Col. Ampliación La Noria, Del. Xochimilco",,,55558878,activo
Xochimilco,"Calle Capulines s/n, entre La Presa y Prolongación 16 de Septiembre. Col Barrio Xaltocan",-99.108744,19.250508,,activo
Iman,Calle Antonio Delfín Madrigal entre Enrique Ureña y Av. Aztecas Col Santo Domingo.,-99.173777,19.321997,58388388,activo
El Coyol,"Av. Eduardo Molina No. 1639, esquina Oriente 157 Col. El Coyol (ex Módulo Ruta 100).",-99.094137,19.486964,57376224,activo
Azcapotzalco,Poniente 152 No. 1020 entre Av. Ceylán y Vallejo. Col. Prensa Nacional,-99.171277,19.507423,55672187,activo
Industrial Vallejo,Calzada Azcapotzalco-La Villa No. 624 entre Ceylán y Norte 59 Col. Industrial Vallejo,-99.167469,19.490473,53689724,activo
